transaction_id,card_id,merchant_id,device_id,ip_address,amount,timestamp,is_fraud
tx_0,card_46,merchant_2,device_4,10.0.0.12,30.23,2025-01-22T16:05:00,1
tx_1,card_77,merchant_25,device_18,10.0.0.33,9.2,2025-01-12T10:20:00,1
tx_2,card_53,merchant_36,device_52,10.0.0.47,74.4,2025-01-28T06:10:00,1
tx_3,card_20,merchant_35,device_47,10.0.0.44,23.63,2025-01-04T19:51:00,0
tx_4,card_77,merchant_36,device_52,10.0.0.67,31.52,2025-01-15T18:47:00,0
tx_5,card_57,merchant_15,device_37,10.0.0.14,33.97,2025-01-18T12:33:00,0
tx_6,card_68,merchant_25,device_53,10.0.0.9,19.15,2025-01-05T08:03:00,1
tx_7,card_79,merchant_29,device_26,10.0.0.34,10.7,2025-01-13T13:04:00,1
tx_8,card_38,merchant_3,device_4,10.0.0.27,14.99,2025-01-15T14:23:00,0
tx_9,card_64,merchant_13,device_57,10.0.0.33,27.15,2025-01-11T21:50:00,0
tx_10,card_66,merchant_27,device_8,10.0.0.30,28.86,2025-01-17T14:54:00,0
tx_11,card_75,merchant_38,device_19,10.0.0.10,15.25,2025-01-05T05:42:00,0
tx_12,card_44,merchant_15,device_49,10.0.0.46,39.23,2025-01-25T05:56:00,0
tx_13,card_72,merchant_12,device_59,10.0.0.93,12.71,2025-01-30T01:56:00,0
tx_14,card_79,merchant_4,device_44,10.0.0.84,74.75,2025-01-27T17:22:00,0
tx_15,card_26,merchant_33,device_24,10.0.0.37,34.06,2025-01-01T03:49:00,0
tx_16,card_42,merchant_46,device_54,10.0.0.97,83.35,2025-01-22T14:20:00,1
tx_17,card_45,merchant_10,device_16,10.0.0.97,26.72,2025-01-29T00:44:00,1
tx_18,card_78,merchant_35,device_53,10.0.0.9,16.61,2025-01-23T23:39:00,1
tx_19,card_24,merchant_47,device_45,10.0.0.24,21.35,2025-01-30T04:38:00,1
tx_20,card_24,merchant_25,device_39,10.0.0.31,25.62,2025-01-29T16:02:00,0
tx_21,card_11,merchant_31,device_50,10.0.0.10,174.55,2025-01-05T23:29:00,0
tx_22,card_47,merchant_36,device_48,10.0.0.43,69.69,2025-01-15T00:30:00,1
tx_23,card_20,merchant_39,device_27,10.0.0.23,20.68,2025-01-04T13:36:00,0
tx_24,card_29,merchant_5,device_39,10.0.0.96,12.17,2025-01-27T00:35:00,0
tx_25,card_67,merchant_40,device_57,10.0.0.10,38.06,2025-01-06T18:27:00,0
tx_26,card_65,merchant_46,device_8,10.0.0.91,27.28,2025-01-28T15:05:00,0
tx_27,card_60,merchant_47,device_45,10.0.0.13,60.88,2025-01-06T05:44:00,0
tx_28,card_66,merchant_15,device_59,10.0.0.50,37.4,2025-01-15T19:01:00,0
tx_29,card_78,merchant_25,device_38,10.0.0.9,13.75,2025-01-03T19:11:00,1
tx_30,card_63,merchant_49,device_17,10.0.0.76,13.77,2025-01-10T14:54:00,0
tx_31,card_64,merchant_31,device_38,10.0.0.61,33.34,2025-01-24T08:52:00,0
tx_32,card_66,merchant_23,device_47,10.0.0.38,23.1,2025-01-14T00:12:00,0
tx_33,card_38,merchant_30,device_13,10.0.0.33,28.71,2025-01-12T00:36:00,0
tx_34,card_18,merchant_14,device_47,10.0.0.94,68.32,2025-01-14T19:33:00,0
tx_35,card_42,merchant_24,device_39,10.0.0.20,18.39,2025-01-25T03:09:00,0
tx_36,card_2,merchant_10,device_35,10.0.0.69,68.02,2025-01-20T02:04:00,0
