device_id,device_type,os_type,browser,first_seen,last_seen,transaction_count,is_suspicious
device_000000,POS,Windows,Edge,2025-05-23,2025-09-19,7,False
device_000001,POS,MacOS,Safari,2025-02-12,2025-09-18,6,False
device_000002,Mobile,Linux,Firefox,2025-09-02,2025-09-20,8,False
device_000003,Mobile,iOS,Other,2025-04-08,2025-09-19,7,False
device_000004,POS,Windows,Safari,2025-03-28,2025-09-17,8,False
device_000005,Desktop,MacOS,Firefox,2024-12-22,2025-09-21,15,False
device_000006,Mobile,iOS,Safari,2024-10-22,2025-09-17,8,False
device_000007,POS,Linux,Firefox,2025-05-17,2025-09-21,11,False
device_000008,Desktop,Linux,Safari,2025-09-19,2025-09-17,14,False
device_000009,POS,iOS,Chrome,2025-02-11,2025-09-23,7,False
device_000010,Mobile,Linux,Chrome,2025-02-05,2025-09-22,14,False
device_000011,POS,iOS,Other,2025-06-11,2025-09-21,11,False
device_000012,Mobile,Linux,Other,2025-03-14,2025-09-20,16,False
device_000013,Tablet,Windows,Safari,2025-02-01,2025-09-22,8,False
device_000014,Tablet,iOS,Safari,2025-09-04,2025-09-21,10,False
device_000015,ATM,Windows,Other,2025-06-05,2025-09-21,10,False
device_000016,Desktop,Android,Other,2024-10-08,2025-09-17,10,False
device_000017,Desktop,Android,Chrome,2025-06-30,2025-09-19,13,False
device_000018,Mobile,MacOS,Edge,2024-10-04,2025-09-22,3,False
device_000019,Tablet,Android,Other,2024-11-09,2025-09-18,9,False
device_000020,Tablet,MacOS,Edge,2025-01-24,2025-09-19,8,False
device_000021,POS,Android,Other,2025-08-03,2025-09-19,15,False
device_000022,POS,Windows,Firefox,2025-05-16,2025-09-18,9,False
device_000023,ATM,Linux,Firefox,2024-12-03,2025-09-17,12,False
device_000024,POS,Linux,Edge,2025-09-21,2025-09-18,5,False
device_000025,Tablet,Windows,Safari,2025-08-20,2025-09-22,12,False
device_000026,Tablet,Linux,Chrome,2025-01-01,2025-09-22,4,False
device_000027,Desktop,Android,Edge,2025-01-08,2025-09-18,6,True
device_000028,Mobile,iOS,Safari,2025-09-09,2025-09-17,10,False
device_000029,Mobile,Windows,Other,2025-01-24,2025-09-21,11,False
device_000030,Desktop,Windows,Safari,2025-03-17,2025-09-23,10,False
device_000031,Mobile,Linux,Chrome,2024-11-22,2025-09-23,9,False
device_000032,Tablet,Windows,Safari,2025-09-17,2025-09-17,13,False
device_000033,Mobile,iOS,Chrome,2025-04-04,2025-09-20,9,False
device_000034,Tablet,Windows,Chrome,2025-04-28,2025-09-20,6,False
device_000035,Tablet,Linux,Edge,2025-09-02,2025-09-17,15,False
device_000036,ATM,iOS,Safari,2024-10-18,2025-09-17,9,False
device_000037,ATM,Linux,Other,2025-06-01,2025-09-17,13,False
device_000038,Mobile,iOS,Edge,2025-09-20,2025-09-20,12,False
device_000039,Tablet,Windows,Chrome,2025-02-18,2025-09-18,10,False
device_000040,Mobile,iOS,Edge,2025-04-03,2025-09-22,7,False
device_000041,Desktop,Android,Edge,2025-03-01,2025-09-20,15,False
device_000042,Desktop,Windows,Edge,2025-03-05,2025-09-17,6,False
device_000043,Desktop,iOS,Edge,2025-07-07,2025-09-20,11,False
device_000044,POS,Windows,Other,2024-12-22,2025-09-18,7,False
device_000045,Desktop,MacOS,Edge,2025-07-12,2025-09-18,12,False
device_000046,ATM,iOS,Edge,2025-07-21,2025-09-17,18,False
device_000047,ATM,iOS,Firefox,2025-08-24,2025-09-23,3,False
device_000048,Mobile,Android,Edge,2024-12-18,2025-09-20,6,False
device_000049,ATM,Android,Chrome,2025-01-26,2025-09-19,12,False
device_000050,Mobile,iOS,Chrome,2025-03-14,2025-09-18,10,False
device_000051,ATM,Windows,Other,2025-05-09,2025-09-20,11,False
device_000052,Mobile,MacOS,Edge,2025-05-13,2025-09-23,13,False
device_000053,Desktop,MacOS,Edge,2024-12-24,2025-09-17,13,False
device_000054,POS,iOS,Other,2025-08-19,2025-09-19,9,False
device_000055,POS,Linux,Safari,2025-03-08,2025-09-19,14,False
device_000056,Mobile,Linux,Edge,2025-07-11,2025-09-17,9,False
device_000057,Tablet,Linux,Other,2025-06-03,2025-09-20,11,False
device_000058,Desktop,MacOS,Other,2025-03-16,2025-09-17,5,False
device_000059,Mobile,Windows,Chrome,2024-12-06,2025-09-21,4,False
device_000060,Tablet,Android,Edge,2025-05-05,2025-09-20,15,False
device_000061,Mobile,MacOS,Safari,2024-10-02,2025-09-17,9,False
device_000062,Mobile,iOS,Other,2024-12-06,2025-09-17,9,False
device_000063,Tablet,MacOS,Safari,2024-12-16,2025-09-22,13,False
device_000064,ATM,Windows,Other,2025-09-21,2025-09-22,11,False
device_000065,Tablet,Android,Safari,2025-03-11,2025-09-17,13,False
device_000066,ATM,Android,Edge,2025-06-02,2025-09-20,10,False
device_000067,Desktop,MacOS,Safari,2025-09-17,2025-09-18,15,False
device_000068,POS,Windows,Firefox,2025-09-11,2025-09-17,12,False
device_000069,Desktop,MacOS,Chrome,2025-01-28,2025-09-18,10,False
device_000070,POS,Android,Chrome,2025-05-07,2025-09-17,7,False
device_000071,Desktop,iOS,Firefox,2025-08-22,2025-09-18,3,False
device_000072,Mobile,Linux,Firefox,2025-09-07,2025-09-19,11,False
device_000073,POS,Android,Edge,2025-07-28,2025-09-22,9,False
device_000074,ATM,Android,Other,2024-10-02,2025-09-20,11,False
device_000075,Desktop,Windows,Safari,2025-05-27,2025-09-22,8,False
device_000076,ATM,iOS,Safari,2025-02-17,2025-09-19,14,False
device_000077,POS,Android,Other,2024-10-16,2025-09-17,10,False
device_000078,Mobile,MacOS,Other,2025-07-22,2025-09-17,10,False
device_000079,POS,Linux,Edge,2025-06-24,2025-09-23,5,False
device_000080,Desktop,Linux,Chrome,2025-02-25,2025-09-22,5,False
device_000081,ATM,Windows,Other,2025-06-05,2025-09-17,7,False
device_000082,Mobile,MacOS,Chrome,2025-06-24,2025-09-18,10,False
device_000083,POS,Linux,Edge,2025-03-10,2025-09-21,8,True
device_000084,POS,iOS,Other,2025-04-26,2025-09-20,10,False
device_000085,Desktop,Linux,Firefox,2024-11-12,2025-09-19,16,False
device_000086,Desktop,MacOS,Firefox,2025-02-13,2025-09-19,14,False
device_000087,POS,MacOS,Firefox,2025-06-27,2025-09-18,15,False
device_000088,POS,MacOS,Chrome,2024-11-02,2025-09-18,14,False
device_000089,Desktop,Linux,Firefox,2025-05-01,2025-09-18,13,False
device_000090,Desktop,iOS,Other,2024-12-06,2025-09-20,12,False
device_000091,Mobile,Linux,Safari,2025-06-26,2025-09-17,7,False
device_000092,Desktop,Android,Chrome,2025-04-23,2025-09-17,8,False
device_000093,Tablet,iOS,Firefox,2024-11-11,2025-09-21,10,False
device_000094,Tablet,Android,Chrome,2025-07-01,2025-09-20,9,False
